"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
347,621458,"Rios, Edwin",544,63.8,0.244,0.256,0.326,0.5,0.338,0.314,0.225,21,86,88.5,10.9,2251,87,86.84,61,175,172,-0.20000000000000284,6.23,115,161,133,148,299,327,305,"-0.952","0.952",,,92,50,13,1,0,7,36,39.1,5,5.4,2.71965,0.36009,0.19076,-0.2734,"91.2",168,40,14.000000000000002,7.608695652173914,5.82,-1.49,-0.29,2.29,0.293,7,"0.274351585",0.275,0.469,"-0.274351585",0.019,0.01799999999999996,0.031,0.024,34.9,"38.0",,,,,,
312,663656,"Tucker, Kyle",8893,3.5,0.239,0.104,0.286,0.343,0.323,0.306,0.222,16,67,87.8,14.7,2181,89.7,90.08,40,163,149,0.3999999999999915,6.48,112,144,125,152,296,322,300,"-3.37","3.37","68.7","7.2",80,51,13,1,0,2,17,21.3,12,15,2.2974,0.56234,0.39514,-0.29283,"91.3",151,41.17647058823529,5.88235294117647,3.75,5.84,-0.81,-0.13,2.4,0.35,3,"1.080128205",0.339,0.319,"-1.080128205",0.017,0.010999999999999954,0.024,0.017,24.5,"39.6",7.396159458574391,-4.346609081138199,35.44489003016219,0.3950617283950617,36.451954803941994,26.290591981478066
288,571875,"Lamb, Jake",690,41.7,0.239,0.194,0.341,0.433,0.339,0.337,0.242,16,67,91.9,9.6,2240,89.5,89.46,37,121,167,0,6.13,115,157,125,152,301,323,304,"-0.985","0.985",,,77,43,8,5,1,2,24,31.2,8,10.4,2.34889,0.52668,0.31202,-0.25544,"92.6",150,46.51162790697674,11.627906976744185,6.493506493506493,5.72,-1.62,-0.17,2.22,0.338,5,"0.342013889",0.34,0.424,"-0.342013889",-0.003,-0.0020000000000000018,0.009,0.002,30.6,"36.7",,,,,,
229,666163,"Rortvedt, Ben",2197,10.4,0.224,0.102,0.256,0.327,0.287,0.284,0.227,11,49,76,7.8,2291,91.4,91.29,31,113,116,-0.10000000000000853,6.23,115,146,115,149,287,318,290,"0.588","-0.588","62.8","6.6",58,43,8,2,0,1,9,15.5,4,6.9,2.14319,0.61784,0.39511,-0.12507,"89.8",147,21.428571428571427,4.761904761904762,3.4482758620689653,5.88,-0.79,-0.17,2.49,0.309,2,"-0.256768559",0.313,0.304,"0.256768559",-0.003,-0.0040000000000000036,0.023,0.003,27.4,"37.5",8.83601966784493,1.3275763090082153,29.08128736595598,0.5545454545454546,35.22381810419642,27.692503337909606
227,595281,"Kiermaier, Kevin",3359,6.8,0.203,0.119,0.289,0.322,0.247,0.252,0.218,12,59,82,3.1,2300,89.7,89.95,53,129,98,0.29999999999999716,6.38,115,145,106,151,293,322,303,"1.945","-1.945","68.3","6.8",64,41,8,2,1,1,20,31.3,2,3.1,2.25278,0.62727,0.26204,-0.21556,"90.8",139,26.82926829268293,2.4390243902439024,1.5625,5.78,-1.68,-0.14,2.34,0.242,1,"-0.856828194",0.256,0.306,"0.856828194",-0.015,-0.014000000000000012,0.016,-0.005,41.1,"38.7",2.2800058285622193,-0.5078357477404101,31.015015188777767,0.33064516129032256,37.61184398123809,23.67448790538982
181,605113,"Ahmed, Nick",1872,9.7,0.229,0.063,0.303,0.292,0.236,0.247,0.223,11,48,82.2,22,2232,88.6,88.7,29,96,85,0.10000000000000853,6.41,109,151,112,148,299,318,292,"2.399","-2.399","65.4","7.1",49,34,10,0,0,1,14,28.6,1,2,2.43508,0.52333,0.28436,-0.14867,"90.0",175,20.588235294117645,2.941176470588235,2.0408163265306123,5.56,-0.77,0.34,2.28,0.245,1,"-1.325414365",0.239,0.324,"1.325414365",0.006,0.006000000000000005,-0.032,-0.011,30.2,"32.7",11.012979356109174,-1.4037785147773225,29.37719207046578,0.6451612903225806,37.611092685198855,34.46580804188413
167,676356,"DeLuca, Jonny",1874,8.9,0.262,0.167,0.281,0.429,0.32,0.272,0.216,11,42,83.7,8.8,2173,88.2,88.39,24,93,74,0.20000000000000284,6.35,109,151,117,145,299,321,295,"0.109","-0.109","68.6","7.5",45,34,8,1,0,2,8,17.8,3,6.7,2.37796,0.61844,0.40862,-0.25269,"89.9",130,17.647058823529413,5.88235294117647,4.444444444444445,5.82,0.76,0.14,2.43,0.311,2,"-0.065269461",0.268,0.351,"0.065269461",0.046,0.04299999999999998,0.078,0.048,25.8,"37.4",7.569479057561266,-1.8296939973653223,26.0368657787091,0.6666666666666666,39.56283638935121,29.958297034552203
143,543939,"Wong, Kolten",3041,4.7,0.3,0.2,0.318,0.5,0.362,0.303,0.237,9,30,84.8,16.4,2281,90.1,90.35,17,75,68,0.30000000000001137,6.37,115,144,111,149,288,322,303,"-1.486","1.486","68.4","6.5",34,24,7,0,0,2,7,20.6,2,5.9,2.3893,0.4557,0.25755,-0.25042,"89.7",153,29.166666666666668,4.166666666666666,2.941176470588235,5.77,-1.53,-0.09,2.36,0.353,1,"1.039160839",0.305,0.358,"-1.039160839",0.063,0.04799999999999999,0.142,0.059,22.7,"36.2",8.815571517645452,-1.2457064609458346,33.15761564001043,0.4084507042253521,33.7266005537128,30.59633815447612
111,660634,"Hernández, Yonny",228,48.7,0.136,0.045,0.2,0.182,0.197,0.204,0.135,3,22,79,11.9,2254,90.4,91.16,13,45,66,0.7999999999999972,6.59,111,146,109,148,287,311,296,"2.314","-2.314","61.8","6.5",27,16,2,1,0,0,8,29.6,2,7.4,1.93982,0.86847,0.37766,-0.37766,"89.4",162,6.25,0,0,5.68,-0.82,-0.21,2.64,0.231,0,"-2.084684685",0.238,0.171,"2.084684685",0.001,-0.0069999999999999785,0.011,-0.007,28.9,"34.4",3.9270750283429257,5.876963236835218,34.157597007671924,0.4230769230769231,37.6366587095701,29.583322629743698
99,657193,"Alvarez, Eddy",153,64.7,0.16,0,0.235,0.16,0.136,0.179,0.193,4,25,85.4,6.1,2181,89.4,89.62,16,55,44,0.19999999999998863,6.24,116,148,106,149,287,319,304,"3.81","-3.81",,,27,18,4,0,0,0,9,33.3,0,0,2.20747,0.66323,0.36848,-0.32384,"90.4",140,27.77777777777778,0,0,5.68,-1.63,-0.18,2.22,0.154,0,"-3.848484848",0.19,0.218,"3.848484848",-0.033,-0.036000000000000004,-0.058,-0.043,29.1,"37.8",,,,,,
