"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
87920,592663,"Realmuto, J.T.",88141,99.7,0.24,0.152,0.296,0.392,0.304,0.299,0.231,4887,20337,87.4,11.2,2210,89.8,90.21,11010,42354,45566,0.4000000000000057,6.58,110,149,116,147,296,323,291,"184.528","-184.528","69.5","7.2",22449,15004,3185,966,83,653,5508,24.5,1730,7.7,2.28182,0.59441,0.49268,-0.0858,"91.6",149,37.08503106004943,7.240665286220025,4.828722882979197,5.77,-0.65,0.01,2.28,0.305,1084,"-0.209881711",0.297,0.381,"0.209881711",0.009,0.008000000000000007,0.011,0.005,26,"35.5",8.925141602380863,-0.19263122290962884,32.45451182317834,0.48876053699656574,36.85136015487421,29.3804495678138
79473,669257,"Smith, Will",79856,99.5,0.223,0.154,0.268,0.377,0.292,0.3,0.227,4057,18227,87.7,13.5,2341,89.7,89.85,10046,38395,41078,0.09999999999999432,6.37,112,152,120,150,298,317,293,"328.897","-328.897","69.4","7.1",20341,13555,2548,824,73,612,4878,24,1677,8.2,2.22129,0.66195,0.21944,-0.07119,"91.5",157,37.538894651059415,7.504815528226404,4.980089474460449,5.76,-0.57,0.07,2.33,0.294,1013,"-0.41384747",0.3,0.383,"0.41384747",-0.004,-0.006000000000000005,-0.006,-0.008,26.2,"42.1",8.368841788401694,-0.47389372774993455,32.0569649035388,0.4843653856911115,36.44367750670026,29.567683837167685
73106,663728,"Raleigh, Cal",73397,99.6,0.233,0.157,0.28,0.39,0.296,0.301,0.234,4001,17177,88.5,13.6,2222,90.2,90.36,9520,36448,36658,0.20000000000000284,6.4,112,149,117,147,292,320,294,"278.176","-278.176","69.5","7.1",18844,12821,2560,779,70,592,4521,24,1306,6.9,2.22141,0.62228,0.3862,-0.07532,"91.6",159,39.33901086022345,7.90686772404094,5.370409679473572,5.55,-1.24,0.08,2.4,0.293,1012,"-0.380510492",0.296,0.395,"0.380510492",-0.001,-0.0030000000000000027,-0.005,-0.005,26.1,"34.1",8.303466479988744,0.5449027335021226,31.912073924601952,0.4771708210790222,37.03641715914293,28.835745788821527
70950,641680,"Heim, Jonah",71234,99.6,0.241,0.153,0.284,0.394,0.307,0.317,0.242,3963,16438,88.5,13,2212,89.2,89.33,8645,33920,37030,0.09999999999999432,6.44,113,151,117,148,299,325,297,"93.131","-93.131","69.9","7.2",18331,12585,2627,721,52,563,4021,21.9,1550,8.5,2.25141,0.66436,0.48333,-0.18823,"91.8",155,39.52691940108315,7.940426887543804,5.438874038513992,5.72,-0.68,0.08,2.25,0.311,997,"-0.131262861",0.313,0.412,"0.131262861",-0.001,-0.0020000000000000018,-0.018,-0.01,25.5,"37.7",9.576281176499903,-0.7388606617939941,32.29394013987755,0.4835045317220544,37.616883598008776,30.08946404864173
67484,661388,"Contreras, William",67680,99.7,0.23,0.148,0.278,0.378,0.296,0.307,0.235,3545,15438,88.3,12.7,2272,89.5,89.86,8349,31972,35512,0.4000000000000057,6.5,111,150,121,148,302,323,298,"216.099","-216.099","69.4","7.2",17183,11439,2358,614,46,527,4158,24.2,1407,8.2,2.26148,0.62469,0.34969,-0.09383,"91.6",157,39.17841814837523,7.830428308662521,5.202816737473084,5.69,-0.94,0.02,2.26,0.299,894,"-0.320222571",0.305,0.395,"0.320222571",-0.005,-0.006000000000000005,-0.017,-0.011,26.1,"38.6",8.57081341347829,-0.08357033376929253,32.43435093575316,0.48414751686704205,37.42599768692122,29.285158355978087
66794,521692,"Perez, Salvador",66967,99.7,0.254,0.156,0.3,0.41,0.321,0.33,0.252,3852,15162,88.7,12.4,2278,88.6,88.82,7546,30938,35856,0.20000000000000284,6.35,109,152,118,147,298,323,296,"-116.481","116.481","69.5","7.2",17022,11726,2544,747,71,490,3585,21.1,1563,9.2,2.3536,0.58592,0.28058,-0.13015,"91.8",157,39.806821095820155,8.180186340712883,5.622136059217484,5.83,-0.62,0.03,2.3,0.327,957,"0.174388418",0.327,0.428,"-0.174388418",0.002,0,-0.018,-0.009,24.4,"40.6",9.244635299201882,-0.5126993896081232,32.46523888427846,0.48171677624288983,37.02943748714823,29.95583179652958
66559,543877,"Vázquez, Christian",66792,99.7,0.244,0.156,0.303,0.4,0.311,0.309,0.233,3708,15181,88.3,13.3,2243,89,89.33,8588,32236,34323,0.29999999999999716,6.5,111,151,118,149,295,326,295,"30.767","-30.767","69.4","7.2",16928,11147,2392,759,64,493,4183,24.7,1397,8.3,2.34646,0.58566,0.32653,-0.05757,"91.7",157,39.523809523809526,7.969451931716083,5.2398393194707,5.74,-1.21,0.08,2.35,0.314,887,"-0.046225154",0.306,0.397,"0.046225154",0.011,0.008000000000000007,0.003,0.002,26.6,"38.5",9.371476524972758,-0.5624437914760096,31.603127020167765,0.49944053708439895,36.96100132367047,29.79793100707032
65723,669221,"Murphy, Sean",65945,99.7,0.243,0.158,0.293,0.401,0.31,0.314,0.24,3703,15253,88.3,12.9,2217,88.6,88.66,8379,31406,34317,0.10000000000000853,6.33,112,150,119,149,301,323,298,"57.203","-57.203","69.2","7.3",16981,11423,2384,743,59,517,3979,23.4,1372,8.1,2.36957,0.57808,0.38133,-0.11786,"91.7",157,38.727512066695915,8.179025888547608,5.488487132677699,5.8,-0.61,0.05,2.23,0.312,932,"-0.087036502",0.31,0.407,"0.087036502",0.003,0.0020000000000000018,-0.006,-0.004,26.7,"36.8",10.266238227923122,-3.5112696878930016,33.02090729219199,0.4641985696255785,36.88111671455631,31.663137379741233
64365,553869,"Díaz, Elias",64554,99.7,0.266,0.173,0.305,0.439,0.337,0.334,0.255,3980,14963,88.8,12,2264,89.2,89.3,6880,30031,34334,0.09999999999999432,6.25,112,150,121,148,301,328,301,"-302.778","302.778","69.6","7.2",16873,11877,2575,766,98,541,3273,19.4,1538,9.1,2.3083,0.58645,0.33675,-0.15364,"91.9",160,40.49307666328943,8.029381965552178,5.636223552421027,5.9,-0.81,-0.01,2.35,0.339,951,"0.47040783",0.331,0.433,"-0.47040783",0.011,0.008000000000000007,0.006,0.003,22.9,"38.7",9.071709780141045,-0.7024422079581932,32.03419102918637,0.49313129631171426,37.13564719126268,29.80357388093311
62584,660688,"Ruiz, Keibert",62774,99.7,0.264,0.175,0.303,0.439,0.335,0.335,0.255,3728,14144,88.8,12.9,2177,89.1,89.58,7092,29587,32997,0.5,6.55,112,150,119,147,303,324,300,"-310.991","310.991","69.7","7.2",15902,11033,2464,622,67,575,3288,20.7,1406,8.8,2.26296,0.65535,0.37965,-0.11149,"91.9",161,41.121920174561325,8.60987362487499,5.955225757766319,5.78,-0.69,0.02,2.31,0.335,947,"0.496917743",0.329,0.439,"-0.496917743",0.009,0.006000000000000005,0,0,24,"38.9",8.640625657043007,0.47393467654536664,32.35561534394278,0.4745773648212673,36.94971407121578,29.34999080232695
62345,455117,"Maldonado, Martín",62466,99.8,0.23,0.146,0.281,0.376,0.298,0.308,0.231,3271,14224,88.5,12.5,2348,88.8,88.54,8013,29706,32639,-0.29999999999999716,6.19,112,152,116,149,294,323,293,"174.964","-174.964","69.8","7.2",15900,10513,2144,631,42,454,3838,24.1,1360,8.6,2.34466,0.60238,0.20815,-0.08736,"91.6",155,38.3779662632231,7.767082817116172,5.1257861635220126,5.95,-0.99,0.08,2.32,0.304,815,"-0.280638383",0.306,0.394,"0.280638383",-0.001,-0.0020000000000000018,-0.018,-0.01,27,"43.3",9.735671897084686,-1.0236088358327453,31.822195341087887,0.5173903878583473,37.30886867867747,30.132477180056306
57481,672386,"Kirk, Alejandro",57754,99.5,0.235,0.158,0.284,0.393,0.305,0.316,0.24,3128,13317,88.5,13.6,2210,88.9,88.95,7130,27277,30204,0.09999999999999432,6.45,110,151,118,148,292,322,293,"111.271","-111.271","69.8","7.2",14843,9891,1999,622,41,466,3535,23.8,1241,8.4,2.34325,0.60879,0.40342,-0.06569,"91.8",158,39.789303079416534,8.610210696920584,5.726605133733073,5.73,-1.38,-0.06,2.26,0.307,850,"-0.193578748",0.313,0.41,"0.193578748",-0.005,-0.006000000000000005,-0.017,-0.011,26.1,"38.3",9.414192582668253,-0.8165724310091568,32.32917242370266,0.48361855079839683,37.06263348933697,30.051197133740448
56501,607732,"Stallings, Jacob",56673,99.7,0.254,0.172,0.302,0.426,0.326,0.322,0.245,3289,12938,88.2,10.9,2251,89.7,89.78,7127,27275,29226,0.09999999999999432,6.35,110,150,119,149,301,322,295,"-126.903","126.903","69.6","7.2",14555,9881,2055,705,72,457,3209,22,1292,8.9,2.29506,0.5771,0.43677,-0.10577,"91.8",153,38.753938408374836,7.825998577091167,5.290278254895225,5.85,-0.91,0.01,2.2,0.327,770,"0.224603104",0.321,0.415,"-0.224603104",0.009,0.006000000000000005,0.011,0.004,26.1,"38.1",9.375765008164924,-1.4284507772025314,32.924564351480875,0.4692616620327464,36.8088224372124,30.306978165488296
56295,669127,"Langeliers, Shea",56600,99.5,0.258,0.174,0.3,0.431,0.333,0.329,0.246,3246,12586,88.5,14.9,2251,88.9,88.8,6464,26307,29988,-0.10000000000000853,6.33,111,148,117,148,299,323,295,"-217.178","217.178","69.5","7.2",14339,9791,2035,698,53,460,2961,20.6,1398,9.7,2.32409,0.623,0.30983,-0.14464,"91.8",162,39.793413786050316,8.365718960932705,5.704721389218216,5.8,-0.52,0.11,2.38,0.338,818,"0.385785594",0.329,0.422,"-0.385785594",0.012,0.009000000000000008,0.009,0.004,24.6,"37.8",9.13161408165557,-0.4714069507469027,31.909583642859232,0.49228379078197826,37.233714559311395,29.77725426826884
56121,608348,"Kelly, Carson",56315,99.7,0.248,0.175,0.287,0.423,0.317,0.321,0.248,3273,13185,88.8,13.6,2248,88.7,88.68,6507,26965,29156,0,6.35,111,151,118,149,298,324,297,"-62.219","62.219","69.6","7.3",14572,10215,2062,622,88,501,3115,21.4,1107,7.6,2.29647,0.65526,0.37084,-0.10006,"91.8",161,39.86247544204322,8.68369351669941,6.066428767499313,5.77,-0.78,0.01,2.26,0.311,884,"0.110865808",0.312,0.428,"-0.110865808",0,-0.0010000000000000009,-0.005,-0.004,24.1,"37.8",9.436728697706869,-1.7319787370410464,32.08485011605429,0.4889772316588363,37.349367253432575,30.690989749700424
56001,663886,"Stephenson, Tyler",56146,99.7,0.246,0.171,0.291,0.416,0.32,0.316,0.239,3123,12708,88.1,14.3,2318,89.6,89.6,6728,26537,29464,0,6.25,112,149,120,148,294,321,291,"-85.688","85.688","69.4","7.2",14256,9637,1942,662,50,469,3197,22.4,1252,8.8,2.193,0.68934,0.32804,-0.12641,"91.6",161,38.572173006774364,7.774882751433037,5.232884399551066,5.79,-0.8,0.08,2.35,0.32,746,"0.153011553",0.315,0.405,"-0.153011553",0.007,0.0050000000000000044,0.011,0.004,25.4,"38.5",8.811008077438837,-0.09333990546216088,32.07926750279929,0.4828710213473092,37.13296742719181,29.418724601991762
